airport,latitude,longitude,municipality
IAD,38.944533,-77.455811,Washington
CLL,30.588583,-96.363833,College Station
MKE,42.947222,-87.896583,Milwaukee
ABI,32.411319,-99.681897,Abilene
COU,38.818094,-92.219631,Columbia
PDX,45.588722,-122.5975,Portland
PBI,26.683161,-80.095589,West Palm Beach
HNL,21.318681,-157.922428,Honolulu
DSM,41.533972,-93.663083,Des Moines
EWN,35.072972,-77.042944,New Bern
SAN,32.733556,-117.189667,San Diego
MLU,32.510864,-92.037689,Monroe
ONT,34.056,-117.601194,Ontario
ROW,33.301556,-104.530556,Roswell
BRO,25.906833,-97.425861,Brownsville
DHN,31.321339,-85.449628,Dothan
CRP,27.770361,-97.501222,Corpus Christi
SYR,43.111187,-76.106311,Syracuse
MDW,41.785972,-87.752417,Chicago
SJC,37.3626,-121.929022,San Jose
HOB,32.687528,-103.217028,Hobbs
DEN,39.861656,-104.673178,Denver
PHL,39.871944,-75.241139,Philadelphia
SUX,42.402603,-96.384367,Sioux City
MCN,32.69285,-83.649211,Macon
CMH,39.997972,-82.891889,Columbus
TXK,33.453722,-93.991028,Texarkana
ANC,61.174361,-149.996361,Anchorage
GRK,31.06725,-97.828917,Killeen
BLI,48.792694,-122.537528,Bellingham
MOB,30.691231,-88.242814,Mobile
SAF,35.617108,-106.089422,Santa Fe
RSW,26.536167,-81.755167,Fort Myers
AKN,58.676778,-156.649278,King Salmon
JFK,40.639751,-73.778925,New York
CHS,32.898647,-80.040528,Charleston
RNO,39.499108,-119.768108,Reno
KTN,55.355556,-131.71375,Ketchikan
BHM,33.562942,-86.75355,Birmingham
MOD,37.625817,-120.954422,Modesto
SMF,38.695417,-121.590778,Sacramento
COS,38.805805,-104.700778,Colorado Springs
BUF,42.940525,-78.732167,Buffalo
CDC,37.700967,-113.098847,Cedar City
BDL,41.938889,-72.683222,Windsor Locks
MFE,26.175833,-98.238611,Mcallen
LBB,33.663639,-101.822778,Lubbock
ORD,41.978603,-87.904842,Chicago
FAI,64.815114,-147.856267,Fairbanks
ART,43.991922,-76.021739,Watertown
PSP,33.829667,-116.506694,Palm Springs
AMA,35.219369,-101.705931,Amarillo
FOE,38.950944,-95.663611,Topeka
ILM,34.270615,-77.902569,Wilmington
BTR,30.533167,-91.149639,Baton Rouge
TYR,32.354139,-95.402386,Tyler
BWI,39.175361,-76.668333,Baltimore
AEX,31.3274,-92.549833,Alexandria
TUL,36.198389,-95.888111,Tulsa
SIT,57.047138,-135.361611,Sitka
ISP,40.79525,-73.100222,Islip
MSP,44.881956,-93.221767,Minneapolis
ILG,39.678722,-75.606528,Wilmington
MSY,29.993389,-90.258028,New Orleans
PWM,43.646161,-70.309281,Portland
OKC,35.393089,-97.600733,Oklahoma City
ALB,42.748267,-73.801692,Albany
SNA,33.675667,-117.868222,Santa Ana
CPR,42.908,-106.464417,Casper
VPS,30.48325,-86.5254,Valparaiso
EYW,24.556111,-81.759556,Key West
CLT,35.214,-80.943139,Charlotte
LAS,36.080056,-115.15225,Las Vegas
MCO,28.429394,-81.308994,Orlando
GTF,47.482,-111.370689,Great Falls
LWS,46.3745,-117.015389,Lewiston
ELM,42.159889,-76.891611,Elmira
MRY,36.587,-121.842944,Monterey
SBA,34.426211,-119.840372,Santa Barbara
DAB,29.179917,-81.058056,Daytona Beach
AVL,35.436194,-82.541806,Asheville
GSO,36.09775,-79.937306,Greensboro
FSD,43.582014,-96.741914,Sioux Falls
MHT,42.932556,-71.435667,Manchester NH
SDF,38.1740858,-85.7364989,Louisville
CHO,38.138639,-78.452861,Charlottesville VA
ROA,37.325472,-79.975417,Roanoke VA
LEX,38.0365,-84.605889,Lexington KY
EVV,38.036997,-87.532364,Evansville
ABQ,35.0402222,-106.6091944,Albuquerque
BZN,45.777643,-111.160151,Bozeman
BIL,45.80921,-108.537654,Billings
BTM,45.954806,-112.497472,Butte
TVC,44.741445,-85.582235,Traverse City
JAC,43.607333333,-110.73775,Jacksn Hole
GSP,34.895556,-82.218889,Greenville
BMI,40.477111,-88.915917,Bloomington
GPT,30.407278,-89.070111,Gulfport
AZO,42.234875,-85.552058,Kalamazoo
TOL,41.586806,-83.807833,Toledo
FWA,40.978472,-85.195139,Fort Wayne
CID,41.884694,-91.710806,Cedar Rapids
LSE,43.878986,-91.256711,La Crosse
CWA,44.772726,-89.646635,Wassau
PIA,40.664203,-89.693258,Peoria
ATW,44.257526,-88.507576,Appleton
RST,43.908283,-92.500014,Rochester
CMI,40.03925,-88.278056,Champaign
MHK,39.140972,-96.670833,Manhattan
GJT,39.122413,-108.526735,Grand Junction
SGU,37.090583,-113.593056,Saint George
SRQ,27.395444,-82.554389,Sarasota
MLI,41.448528,-90.507539,Moline
BIS,46.775842,-100.757931,Bismarck
RAP,44.045278,-103.057222,Rapid City
CLD,33.0742,-117.1648,Carlsbad
FNT,42.965424,-83.743629,Flint
RDD,40.509,-122.293389,Redding
EUG,44.124583,-123.211972,Eugene
IDA,43.514556,-112.07075,Idaho Falls
MFR,42.374228,-122.8735,Medford
RDM,44.254066,-121.149964,Redmond-Bend
CAK,40.9160833,-81.4421944,Akron
HSV,34.6371944,-86.7750556,Huntsville
MGM,32.3006389,-86.3939722,MONTGOMERY
TRI,36.4752222,-82.4074167,BRISTOL
PAH,37.0602875,-88.7729583,PADUCAH
FCA,48.310472,-114.256,Kalispell
MBS,43.532913,-84.079647,Saginaw
PSG,56.801667,-132.945278,Petersburg
MSO,46.916306,-114.090556,Missoula
EGE,39.642556,-106.917694,Vail
CSG,32.5163333,-84.9388611,Columbus
LAW,34.5677144,-98.4166367,Lawton
FLG,35.140318,-111.6692392,Flagstaff
TWF,42.481803,-114.487733,Twin Falls
MVY,41.391667,-70.615278,Vineyard Haven MA
STC,45.546556,-94.059889,Saint Cloud
GTR,33.450333,-88.591361,Columbus Mississippi
ERI,42.082022,-80.176217,Erie
HYA,41.669336,-70.280356,Barnstable
CRW,38.373147,-81.593189,Charleston
AVP,41.338478,-75.723403,Scranton
BJI,47.510722,-94.934722,Bemidji
FAR,46.92065,-96.8157639,Fargo
GCC,44.3489167,-105.5393611,Gillette
SCE,40.849278,-77.848694,State College Pennsylvania
MEI,32.332624,-88.751868,Meridian
SPI,39.8441,-89.677889,Springfield
HDN,40.481181,-107.21766,Hayden
COD,44.520194,-109.023806,Cody
SGF,37.245667,-93.388639,Springfield
JLN,37.151814,-94.498269,Joplin
ABE,40.652083,-75.440806,Allentown
XNA,36.2818694,-94.3068111,Bentonville
SBN,41.708661,-86.31725,South Bend
ACV,40.978111,-124.108611,Arcata CA
OAJ,34.829164,-77.612139,Jacksonville NC
DBQ,42.402,-90.709472,Dubuque IA
WRG,56.4843,-132.37,Wrangell
GST,58.4253,-135.707,Gustavus
ADK,51.878,-176.646,Adak Island
VLD,30.7825,-83.2767,Valdosta
SMX,34.8989,-120.457,Santa Maria
SBP,35.2368,-120.642,San Luis Obispo
RKS,41.5942,-109.065,Rock Springs
RHI,45.6312,-89.4675,Rhinelander
PLN,45.5709,-84.7967,Pellston
PIH,42.9098,-112.596,Pocatello
PIB,31.4671,-89.3371,Hattiesburg/Laurel
OTH,43.4171,-124.246,North Bend
MKG,43.1695,-86.2382,Muskegon
LMT,42.1561,-121.733,Klamath Falls
LAR,41.3121,-105.675,Laramie
JMS,46.9297,-98.6782,Jamestown
GRI,40.9675,-98.3096,Grand Island
FAY,34.9912,-78.8803,Fayetteville
EKO,40.8249,-115.792,Elko
EAU,44.8658,-91.4843,Eau Claire
CMX,47.1684,-88.4891,Hancock
CIU,46.2508,-84.4724,Sault Ste Marie
CEC,41.7802,-124.237,Crescent City
BQK,31.2588,-81.4665,Brunswick
APN,45.0781,-83.5603,Alpena
ALO,42.5571,-92.4003,Waterloo
ABY,31.5355,-84.1945,Albany
ABR,45.4491,-98.4218,Aberdeen
PSC,46.2647,-119.119,Pasco
ORH,42.2673,-71.8757,Worcester
SUN,43.504444,-114.296194,Hailey
BRD,46.398308,-94.138078,Brainerd
BKG,36.531994,-93.200556,Branson
UST,29.959167,-81.339722,St. Augustine Airport
ASE,39.2232,-106.869,Aspen
HYS,38.8422,-99.2732,Hays
GUC,38.533889,-106.933056,Gunnison
DVL,48.114444,-98.908611,Devils Lake
DIK,46.7975,-102.801944,Dickinson
WYS,44.688333,-111.1175,West Yellowstone
CNY,38.755,-109.754722,Moab
VEL,40.440833,-109.51,Vernal
MMH,37.624049,-118.837772,Mammoth Lakes
ECP,30.3417,-85.7973,Panama City
